País;Num;Autores
Pakistan;12;Abdullah, A.
Bangladesh;1;Ahmed, F.
France;6;Barberis, D.
France;6;Bernard, S.
France;6;Berrahou, L.
"Catar;France";3;Berti-Équille, L.
France;6;Bimonte, S.
France;6;Bouadi, T.
Morocco;11;Bouignane, A.
France;6;Boulil, K.
France;6;Bringay, S.
France;6;Brun, J. P.
France;6;Carluer, N.
France;6;Cernesson, F.
France;6;Chanet, J. P.
India;17;Chaturvedi, K. K.
France;6;Cheviron, B.
France;6;Chriki, S.
Republic of Korea;13;Chung, Y.
Italy;10;Contò, F.
France;6;Cordier, M. O.
India;17;Dubey, V.
France;6;Durand, D.
Italy;10;Faccilongo, N.
Brazil;2;Farias, T. M. T.
France;6;Faulconnier, Y.
Italy;10;Gallo, C.
China;4;Gao, Q.
France;6;Gascuel-Odoux, C.
France;6;Gineste, L.
Brazil;2;Gomes, R. C.
France;6;Gouy, V.
France;6;Grac, C.
India;17;Gupta, A. K.
Morocco;11;Hammani, A.
Bangladesh;1;Hasan, K. T.
France;6;Hocquette, J. F.
France;6;Ienco, D.
Brazil;2;Ishii, R. P.
France;6;Journaux, L.
Brazil;2;Junior, N. M. C.
France;6;Jurie, C.
Ireland;9;Kechadi, M. T.
Greece;7;Kremmydas, D.
France;6;Kuentz-Simonet, V.
Italy;10;La Sala, P.
France;6;Lalande, N.
Morocco;11;Laraichi, S.
France;6;Lauvernet, C.
France;6;Le Ber, F.
France;6;Leccia-Phelpin, O.
Republic of Korea;13;Lee, J.
Ireland;9;Le-Khac,N. A.
France;6;Lescot, J. M.
USA;16;Liang, N.
India;17;Malhotra, P. K.
Greece;7;Maliappis, M.
India;17;Mazumdar, B. D.
Switzerland;15;Meile, R.
France;6;Micol, D.
France;6;Minette, S.
France;6;Miralles, A.
France;6;Molla, G.
France;6;Moreau, P.
Brazil;2;Mota, F. M.
Bangladesh;1;Nandi, D.
France;6;Naoufal, E.
Ireland;9;Ngo, V. M.
USA;16;Nilakanta, S.
Republic of Korea;13;Park, D.
France;6;Petit, K.
France;6;Picard, B.
France;6;Pinet, F.
France;6;Pradel, M.
Indonesia;8;Putri, A. I.
France;6;Quiniou, R.
Bangladesh;1;Rahman, M.
India;17;Rai, A.
France;6;Reichstadt, M.
France;6;Renand, G.
Switzerland;15;Rösler, E.
France;6;Salmon-Monviola, J.
India;17;Scheibe, K.
France;6;Schneider, M.
France;6;Scordia, C.
France;6;Serrano, E.
Indonesia;8;Sitanggang, I. S.
Brazil;2;Souza, K. M.
Switzerland;15;Speich, S.
France;6;Teisseire, M.
Indonesia;8;Thariqa, P.
France;6;Tonneau, J. P.
Switzerland;15;Traub, B.
France;6;Vernier, F.
"China;USA";5;Xu, L.
"Republic of Korea;China";14;Xu, Z.
Italy;10;Zaza, C.
