Journal/Conference;Number of Articles in BP;Number of Articles in BP references;JCR
Agricultural Engineering;1;4;0
Agricultural Systems;1;8;3.004
Biosystems Engineering;1;2;2.132
Brazilian Congress of Agroinformatics;1;0;0
CEUR Workshop Proc.;1;0;0
Computers & Geosciences;1;0;2.567
Computers and Eletronics in Agriculture;6;42;2.427
Earth and Environmental Science;1;0;0.870
Ecological Informatics;2;8;1.820
Environmental Modelling & Software;1;21;4.177
Environmental Science and Pollution Research;1;1;2.800
Groundwater for Sustainable Development;1;0;0
I . J. Modern Education and Computer Science;1;0;0
IEEE Trans. on Syst., Man, and Cybern., Part C (2014);1;1;2.171
Int. Conf. on Geog. Anal., Urb. Mod., Spat. Statistics;1;0;0
Int. J. of Research in Engineering and Technology;1;0;0
Internacional Conference on Precision Agriculture;1;1;0
InterScientia;1;0;0
Italian Journal of Animal Science;1;0;0.990
Journal of Decision Systems;1;0;0
Journal of the Indian Society of Agricultural Statistics;1;1;0
Operational Research;1;4;1.816
Procedia Environmental Sciences;1;0;0
